Date,Hour Ending,Total Load
01/09/2023,7,14268.11
01/09/2023,8,15276.09
01/09/2023,9,15341.84
01/09/2023,10,14871.01
01/09/2023,11,14224.9
01/09/2023,12,13705.44
01/09/2023,13,13547.04
01/09/2023,14,13193.0
01/09/2023,15,13589.77
01/09/2023,16,14337.52
01/09/2023,17,15613.39
01/09/2023,18,16609.21
01/09/2023,19,16534.01
01/09/2023,20,16127.83
01/09/2023,21,15617.44
01/09/2023,22,14720.87
01/09/2023,23,13551.03
01/09/2023,24,12737.1
01/10/2023,1,12620.78
01/10/2023,2,11966.69
01/10/2023,3,12056.52
01/10/2023,4,12026.28
01/10/2023,5,12305.18
01/10/2023,6,12859.22
01/10/2023,7,14021.86
01/10/2023,8,14997.6
01/10/2023,9,15048.92
01/10/2023,10,14587.74
01/10/2023,11,13899.94
01/10/2023,12,13542.8
01/10/2023,13,13069.48
01/10/2023,14,13194.53
01/10/2023,15,13546.45
01/10/2023,16,14443.18
01/10/2023,17,15594.65
01/10/2023,18,16622.79
01/10/2023,19,16539.03
01/10/2023,20,16156.37
01/10/2023,21,15584.06
01/10/2023,22,14745.12
01/10/2023,23,13721.67
01/10/2023,24,12875.17
01/11/2023,1,12803.15
01/11/2023,2,12598.65
01/11/2023,3,12496.37
01/11/2023,4,12573.81
01/11/2023,5,12990.05
01/11/2023,6,13687.82
01/11/2023,7,14921.82
01/11/2023,8,15872.39
01/11/2023,9,15503.4
01/11/2023,10,14292.2
01/11/2023,11,13581.48
01/11/2023,12,13252.02
01/11/2023,13,13151.58
01/11/2023,14,13677.9
01/11/2023,15,14335.42
01/11/2023,16,15060.48
01/11/2023,17,16168.69
01/11/2023,18,16934.61
01/11/2023,19,16780.91
01/11/2023,20,16464.1
01/11/2023,21,15837.36
01/11/2023,22,14960.42
01/11/2023,23,13884.82
01/11/2023,24,12904.46
01/12/2023,1,12502.8
01/12/2023,2,12489.84
01/12/2023,3,12303.84
01/12/2023,4,12313.96
01/12/2023,5,12621.78
01/12/2023,6,12936.7
01/12/2023,7,14334.52
01/12/2023,8,15385.2
01/12/2023,9,15728.96
01/12/2023,10,15884.72
01/12/2023,11,16032.81
01/12/2023,12,16064.06
01/12/2023,13,16058.28
01/12/2023,14,15973.29
01/12/2023,15,15837.52
01/12/2023,16,15864.36
01/12/2023,17,16342.44
01/12/2023,18,16676.6
01/12/2023,19,16335.06
01/12/2023,20,15761.49
01/12/2023,21,15047.42
01/12/2023,22,14082.5
01/12/2023,23,12964.33
01/12/2023,24,12279.54
01/13/2023,1,12094.04
01/13/2023,2,12006.7
01/13/2023,3,11863.65
01/13/2023,4,11769.44
01/13/2023,5,11958.72
01/13/2023,6,12571.11
01/13/2023,7,13096.52
01/13/2023,8,13666.1
01/13/2023,9,14090.93
01/13/2023,10,14291.88
01/13/2023,11,14351.48
01/13/2023,12,14392.89
01/13/2023,13,14361.74
01/13/2023,14,14309.11
01/13/2023,15,14197.66
01/13/2023,16,14332.94
01/13/2023,17,14619.0
01/13/2023,18,15013.71
01/13/2023,19,14750.62
01/13/2023,20,14276.5
01/13/2023,21,13816.85
01/13/2023,22,13208.6
01/13/2023,23,12636.16
01/13/2023,24,12005.0
01/14/2023,1,11504.88
01/14/2023,2,11391.31
01/14/2023,3,11547.93
01/14/2023,4,11585.7
01/14/2023,5,11531.6
01/14/2023,6,11557.01
01/14/2023,7,12209.52
01/14/2023,8,12806.95
01/14/2023,9,13486.56
01/14/2023,10,14059.0
01/14/2023,11,14347.82
01/14/2023,12,14427.88
01/14/2023,13,14410.41
01/14/2023,14,14405.97
01/14/2023,15,14439.27
01/14/2023,16,14632.73
01/14/2023,17,15216.96
01/14/2023,18,15776.88
01/14/2023,19,15591.05
01/14/2023,20,15120.98
01/14/2023,21,14649.37
01/14/2023,22,14041.9
01/14/2023,23,13316.6
01/14/2023,24,12827.11
01/15/2023,1,12625.99
01/15/2023,2,12249.0
01/15/2023,3,12293.09
01/15/2023,4,12523.4
01/15/2023,5,12599.2
01/15/2023,6,12623.72
01/15/2023,7,12758.38
01/15/2023,8,13108.57
01/15/2023,9,13288.38
01/15/2023,10,13428.96
01/15/2023,11,13462.15
01/15/2023,12,13558.45
01/15/2023,13,13565.16
01/15/2023,14,13652.08
01/15/2023,15,13943.83
01/15/2023,16,14751.82
01/15/2023,17,15345.85
01/15/2023,18,16139.72
01/15/2023,19,15943.8
01/15/2023,20,15452.84
01/15/2023,21,14940.94
01/15/2023,22,14238.8
01/15/2023,23,13419.11
01/15/2023,24,12684.26
01/16/2023,1,12741.96
01/16/2023,2,12865.54
01/16/2023,3,12971.22
01/16/2023,4,13006.9
01/16/2023,5,12937.41
01/16/2023,6,13142.29
01/16/2023,7,13942.92
01/16/2023,8,14467.24
01/16/2023,9,15035.77
01/16/2023,10,15562.84
01/16/2023,11,15639.0
