ASSET ID,ASSET NAME,RESOURCE ID,Fuel Type,RESOURCE NAME,GENERATOR TYPE,Primary Fuel Type,ALT FUEL TYPE,EIA PLANT NUMBER,Nameplate Capacity (MW)
400,DEVON 14,400.0,Oil,DEVON 14,GAS TURBINE,KER,NG,544,45.92569389573669
401,EASTMAN FALLS,401.0,Hydro,EASTMAN FALLS,HYDRO: RUN OF RIVER,WAT,,2356,5.302886788494397
405,ELLSWORTH HYDRO,405.0,Hydro,ELLSWORTH HYDRO,HYDRO: WEEKLY PONDAGE,WAT,,1469,8.014483836706992
410,ESSEX 19 HYDRO,410.0,Hydro,ESSEX 19 HYDRO,HYDRO: RUN OF RIVER,WAT,,3737,6.339546765215418
412,FALLS VILLAGE,412.0,Hydro,FALLS VILLAGE,HYDRO: RUN OF RIVER,WAT,,560,8.10453421689471
413,FIFE BROOK,413.0,Hydro,FIFE BROOK,HYDRO: RUN OF RIVER,WAT,,8004,10.130667771118388
417,FRAMINGHAM JET 1,417.0,Oil,FRAMINGHAM JET 1,GAS TURBINE,DFO,,1586,12.782651467646712
418,FRAMINGHAM JET 2,418.0,Oil,FRAMINGHAM JET 2,GAS TURBINE,DFO,,1586,12.782651467646712
419,FRAMINGHAM JET 3,419.0,Oil,FRAMINGHAM JET 3,GAS TURBINE,DFO,,1586,12.782651467646712
420,FRANKLIN DRIVE 10,420.0,Oil,FRANKLIN DRIVE 10,GAS TURBINE,KER,,561,16.743742566154
421,FRONT STREET DIESELS 1-3,421.0,Oil,FRONT STREET DIESELS 1-3,INTERNAL COMBUSTION,DFO,,7396,8.692112947619577
424,GREAT LAKES - MILLINOCKET,424.0,Hydro,GREAT LAKES - MILLINOCKET,HYDRO: WEEKLY PONDAGE,WAT,,55830,124.98834281386267
426,GORGE 1 DIESEL,426.0,Oil,GORGE 1 DIESEL,GAS TURBINE,DFO,,3735,15.2552548068411
427,GORHAM,427.0,Hydro,GORHAM,HYDRO: RUN OF RIVER,WAT,,2358,1.9360831740359585
432,HARRIS 1,432.0,Hydro,HARRIS 1,HYDRO: WEEKLY PONDAGE,WAT,,1492,13.507827179298413
433,HARRIS 2,433.0,Hydro,HARRIS 2,HYDRO: WEEKLY PONDAGE,WAT,,1492,28.77109646997622
434,HARRIS 3,434.0,Hydro,HARRIS 3,HYDRO: WEEKLY PONDAGE,WAT,,1492,27.014843905175137
435,HARRIMAN,435.0,Hydro,HARRIMAN,HYDRO: WEEKLY PONDAGE,WAT,,3746,30.256927743073586
436,HEMPHILL 1,436.0,Refuse/Woods,HEMPHILL 1,STEAM TURBINE,WDS,,10838,18.82052945923327
440,HIRAM,440.0,Hydro,HIRAM,HYDRO: DAILY PONDAGE,WAT,,1493,9.990189178025545
445,COVANTA WEST ENFIELD,445.0,Refuse/Woods,COVANTA WEST ENFIELD,STEAM TURBINE,WDS,,10766,24.763899576812822
446,COVANTA JONESBORO,446.0,Refuse/Woods,COVANTA JONESBORO,STEAM TURBINE,WDS,,10765,27.677299527026094
449,JACKMAN,449.0,Hydro,JACKMAN,HYDRO: WEEKLY PONDAGE,WAT,,2360,2.881612166007008
452,KENDALL JET 1,452.0,Oil,KENDALL JET 1,GAS TURBINE,DFO,,1595,19.135705789890288
457,LAWRENCE HYDRO,457.0,Hydro,LAWRENCE HYDRO,HYDRO: RUN OF RIVER,WAT,,50545,15.056423567386616
460,LOCKWOOD,460.0,Hydro,LOCKWOOD,HYDRO: RUN OF RIVER,WAT,,10066,7.1432464083908105
461,LENERGIA ENERGY CENTER,12521.0,Gas,Lowell Power Reactivation,COMBINED CYCLE,NG,DFO,54586,76.66911881777442
462,LISBON RESOURCE RECOVERY,462.0,Refuse/Woods,LISBON RESOURCE RECOVERY,STEAM TURBINE,MSW,,54758,13.91165810925024
463,REENERGY LIVERMORE FALLS,463.0,Refuse/Woods,AEI LIVERMORE,STEAM TURBINE,WDS,,10354,35.659950554336724
464,LOST NATION,464.0,Oil,LOST NATION,GAS TURBINE,DFO,,2362,16.20870823226867
465,DEERFIELD 2/LWR DRFIELD,465.0,Hydro,DEERFIELD 2 LWR DRFIELD,HYDRO: DAILY PONDAGE,WAT,,"6047, 6083, 6119",8.644836498021023
467,MARBLEHEAD DIESELS,467.0,Oil,MARBLEHEAD DIESELS,INTERNAL COMBUSTION,DFO,,6586,4.682619769761389
468,MARSHFIELD 6 HYDRO,468.0,Hydro,MARSHFIELD 6 HYDRO,HYDRO: WEEKLY PONDAGE,WAT,,3739,4.50251900938595
472,M STREET JET,472.0,Oil,M STREET JET,GAS TURBINE,KER,,10176,55.19187801705298
473,MCINDOES,473.0,Hydro,MCINDOES,HYDRO: DAILY PONDAGE,WAT,,6483,10.697985166301018
474,J C MCNEIL,474.0,Refuse/Woods,J C MCNEIL,STEAM TURBINE,WDS,,589,48.194423174186085
478,MIDDLETOWN 10,478.0,Oil,MIDDLETOWN 10,GAS TURBINE,JF,,562,16.743742566154
480,MIDDLETOWN 2,480.0,Oil,MIDDLETOWN 2,STEAM TURBINE,RFO,NG,562,102.32933485378571
481,MIDDLETOWN 3,480.0,Oil,MIDDLETOWN 2,STEAM TURBINE,RFO,NG,562,215.54459001732423
482,MIDDLETOWN 4,482.0,Oil,MIDDLETOWN 4,STEAM TURBINE,RFO,,562,373.61902739884613
484,MILLSTONE POINT 2,484.0,Nuclear,MILLSTONE POINT 2,STEAM TURBINE,NUC,,566,819.3684093280552
485,MILLSTONE POINT 3,485.0,Nuclear,MILLSTONE POINT 3,STEAM TURBINE,NUC,,566,1249.449025104601
486,MILFORD POWER,486.0,Gas,MILFORD POWER,COMBINED CYCLE,NG,,54805,132.4190840660408
487,WORUMBO HYDRO,487.0,Hydro,Worumbo Hydro,HYDRO: RUN OF RIVER,WAT,,50278,16.770982806160784
489,MERRIMACK 1,489.0,Coal,MERRIMACK 1,STEAM TURBINE,BIT,,2364,102.32933485378571
490,MERRIMACK 2,490.0,Coal,MERRIMACK 2,STEAM TURBINE,BIT,,2364,311.2141139287569
492,MONTVILLE 10 AND 11,492.0,Oil,MONTVILLE 10 and 11,INTERNAL COMBUSTION,KER,,546,3.9622167282596363
493,MONTVILLE 5,493.0,Oil,MONTVILLE 5,STEAM TURBINE,RFO,NG,546,67.53778514078925
494,MONTVILLE 6,494.0,Oil,MONTVILLE 6,STEAM TURBINE,RFO,,546,373.61902739884613
495,MONTY,495.0,Hydro,MONTY,HYDRO: DAILY PONDAGE,WAT,,805,25.610328125387287
497,MASS POWER,497.0,Gas,MASS POWER,COMBINED CYCLE,NG,,10726,243.72585649707085
508,NEWINGTON 1,508.0,Oil,NEWINGTON 1,STEAM TURBINE,RFO,NG,8002,331.38539909080595
513,NEW HAVEN HARBOR,513.0,Oil,NEW HAVEN HARBOR,STEAM TURBINE,RFO,NG,6156,414.46587985199545
515,NORWICH JET,515.0,Oil,NORWICH JET,GAS TURBINE,DFO,,581,17.22213521090126
527,OGDEN-MARTIN 1,527.0,Refuse/Woods,OGDEN-MARTIN 1,STEAM TURBINE,MSW,DFO,50661,45.10486667024959
528,OCEAN ST PWR GT1/GT2/ST1,528.0,Gas,OCEAN ST PWR GT1 GT2 ST1,COMBINED CYCLE,NG,DFO,51030,235.94325238934724
529,OCEAN ST PWR GT3/GT4/ST2,529.0,Gas,OCEAN ST PWR GT3 GT4 ST2,COMBINED CYCLE,NG,DFO,54324,235.94325238934724
532,PEJEPSCOT,532.0,Hydro,PEJEPSCOT,HYDRO: RUN OF RIVER,WAT,,50758,14.863940879735368
536,PERC-ORRINGTON 1,536.0,Refuse/Woods,PERC-ORRINGTON 1,STEAM TURBINE,MSW,,50051,22.962846947868346
538,PINETREE POWER,538.0,Refuse/Woods,PINETREE POWER,STEAM TURBINE,WDS,,54620,14.588161590410477
539,PONTOOK HYDRO,539.0,Hydro,PONTOOK HYDRO,HYDRO: RUN OF RIVER,WAT,,50741,9.239169007259969
540,POTTER 2 CC,540.0,Gas,POTTER 2 CC,COMBINED CYCLE,NG,DFO,1660,81.85579559063657
541,PROCTOR,541.0,Hydro,PROCTOR,HYDRO: RUN OF RIVER,WAT,,6450,7.089486331418741
542,ECO MAINE,542.0,Refuse/Woods,ECO MAINE,STEAM TURBINE,MSW,,50225,11.963913410979972
546,RESCO SAUGUS,546.0,Refuse/Woods,RESCO SAUGUS,STEAM TURBINE,MSW,,50880,40.55148720613362
547,WHEELABRATOR NORTH ANDOVER,547.0,Refuse/Woods,WHEELABRATOR NORTH ANDOVER,STEAM TURBINE,MSW,,50877,38.50104004925926
549,RUTLAND 5 GT,549.0,Oil,RUTLAND 5 GT,GAS TURBINE,DFO,,3723,10.355478545257029
555,SEABROOK,555.0,Nuclear,SEABROOK,STEAM TURBINE,NUC,,6115,1178.9853680359427
556,SCHILLER 4,556.0,Coal,SCHILLER 4,STEAM TURBINE,BIT,RFO,2367,35.97512688499374
