time,numGenerators,totalCap,adjRatios,cap_rate,LOLE
2024/04/22-20:40:30,2585,38389.70230400001,1.0,1.0,0.0
2024/04/22-20:40:30,2585,38389.70230400001,1.0,1.0,0.0
