ASSET ID,ASSET NAME,RESOURCE ID,Fuel Type,RESOURCE NAME,GENERATOR TYPE,Primary Fuel Type,ALT FUEL TYPE,EIA PLANT NUMBER,Nameplate Capacity (MW)
400,DEVON 14,400.0,Oil,DEVON 14,GAS TURBINE,KER,NG,544,40.1849821587696
401,EASTMAN FALLS,401.0,Hydro,EASTMAN FALLS,HYDRO: RUN OF RIVER,WAT,,2356,4.640025939932596
405,ELLSWORTH HYDRO,405.0,Hydro,ELLSWORTH HYDRO,HYDRO: WEEKLY PONDAGE,WAT,,1469,7.012673357118617
410,ESSEX 19 HYDRO,410.0,Hydro,ESSEX 19 HYDRO,HYDRO: RUN OF RIVER,WAT,,3737,5.54710341956349
412,FALLS VILLAGE,412.0,Hydro,FALLS VILLAGE,HYDRO: RUN OF RIVER,WAT,,560,7.09146743978287
413,FIFE BROOK,413.0,Hydro,FIFE BROOK,HYDRO: RUN OF RIVER,WAT,,8004,8.864334299728588
417,FRAMINGHAM JET 1,417.0,Oil,FRAMINGHAM JET 1,GAS TURBINE,DFO,,1586,11.184820034190873
418,FRAMINGHAM JET 2,418.0,Oil,FRAMINGHAM JET 2,GAS TURBINE,DFO,,1586,11.184820034190873
419,FRAMINGHAM JET 3,419.0,Oil,FRAMINGHAM JET 3,GAS TURBINE,DFO,,1586,11.184820034190873
420,FRANKLIN DRIVE 10,420.0,Oil,FRANKLIN DRIVE 10,GAS TURBINE,KER,,561,14.65077474538475
421,FRONT STREET DIESELS 1-3,421.0,Oil,FRONT STREET DIESELS 1-3,INTERNAL COMBUSTION,DFO,,7396,7.605598829167128
424,GREAT LAKES - MILLINOCKET,424.0,Hydro,GREAT LAKES - MILLINOCKET,HYDRO: WEEKLY PONDAGE,WAT,,55830,109.36479996212982
426,GORGE 1 DIESEL,426.0,Oil,GORGE 1 DIESEL,GAS TURBINE,DFO,,3735,13.348347955985961
427,GORHAM,427.0,Hydro,GORHAM,HYDRO: RUN OF RIVER,WAT,,2358,1.6940727772814634
432,HARRIS 1,432.0,Hydro,HARRIS 1,HYDRO: WEEKLY PONDAGE,WAT,,1492,11.81934878188611
433,HARRIS 2,433.0,Hydro,HARRIS 2,HYDRO: WEEKLY PONDAGE,WAT,,1492,25.17470941122919
434,HARRIS 3,434.0,Hydro,HARRIS 3,HYDRO: WEEKLY PONDAGE,WAT,,1492,23.637988417028243
435,HARRIMAN,435.0,Hydro,HARRIMAN,HYDRO: WEEKLY PONDAGE,WAT,,3746,26.474811775189384
436,HEMPHILL 1,436.0,Refuse/Woods,HEMPHILL 1,STEAM TURBINE,WDS,,10838,16.46796327682911
440,HIRAM,440.0,Hydro,HIRAM,HYDRO: DAILY PONDAGE,WAT,,1493,8.74141553077235
445,COVANTA WEST ENFIELD,445.0,Refuse/Woods,COVANTA WEST ENFIELD,STEAM TURBINE,WDS,,10766,21.668412129711214
446,COVANTA JONESBORO,446.0,Refuse/Woods,COVANTA JONESBORO,STEAM TURBINE,WDS,,10765,24.21763708614783
