Date,Time,Fuel Category,Gen Mw
01/01/2023,01:32:34,Other,0.0
01/01/2023,01:32:34,Refuse,343.0
01/01/2023,01:32:34,Solar,1.0
01/01/2023,01:32:34,Wind,226.0
01/01/2023,01:32:34,Wood,231.0
01/01/2023,01:38:39,Coal,0.0
01/01/2023,01:38:39,Hydro,972.0
01/01/2023,01:38:39,Landfill Gas,36.0
01/01/2023,01:38:39,Natural Gas,2827.0
01/01/2023,01:38:39,Nuclear,3371.0
01/01/2023,01:38:39,Oil,0.0
01/01/2023,01:38:39,Other,3.0
01/01/2023,01:38:39,Refuse,338.0
01/01/2023,01:38:39,Solar,1.0
01/01/2023,01:38:39,Wind,218.0
01/01/2023,01:38:39,Wood,233.0
01/01/2023,01:45:33,Coal,0.0
01/01/2023,01:45:33,Hydro,970.0
01/01/2023,01:45:33,Landfill Gas,36.0
01/01/2023,01:45:33,Natural Gas,2760.0
01/01/2023,01:45:33,Nuclear,3371.0
01/01/2023,01:45:33,Oil,0.0
01/01/2023,01:45:33,Other,0.0
01/01/2023,01:45:33,Refuse,345.0
01/01/2023,01:45:33,Solar,1.0
01/01/2023,01:45:33,Wind,217.0
01/01/2023,01:45:33,Wood,232.0
01/01/2023,01:50:32,Coal,0.0
01/01/2023,01:50:32,Hydro,965.0
01/01/2023,01:50:32,Landfill Gas,35.0
01/01/2023,01:50:32,Natural Gas,2731.0
01/01/2023,01:50:32,Nuclear,3373.0
01/01/2023,01:50:32,Oil,0.0
01/01/2023,01:50:32,Other,0.0
01/01/2023,01:50:32,Refuse,348.0
01/01/2023,01:50:32,Solar,1.0
01/01/2023,01:50:32,Wind,230.0
01/01/2023,01:50:32,Wood,230.0
01/01/2023,01:56:59,Coal,5.0
01/01/2023,01:56:59,Hydro,969.0
01/01/2023,01:56:59,Landfill Gas,36.0
01/01/2023,01:56:59,Natural Gas,2821.0
01/01/2023,01:56:59,Nuclear,3373.0
01/01/2023,01:56:59,Oil,0.0
01/01/2023,01:56:59,Other,0.0
01/01/2023,01:56:59,Refuse,344.0
01/01/2023,01:56:59,Solar,1.0
01/01/2023,01:56:59,Wind,234.0
01/01/2023,01:56:59,Wood,233.0
01/01/2023,02:03:07,Coal,1.0
01/01/2023,02:03:07,Hydro,967.0
01/01/2023,02:03:07,Landfill Gas,36.0
01/01/2023,02:03:07,Natural Gas,2900.0
01/01/2023,02:03:07,Nuclear,3373.0
01/01/2023,02:03:07,Oil,0.0
01/01/2023,02:03:07,Other,0.0
01/01/2023,02:03:07,Refuse,347.0
01/01/2023,02:03:07,Solar,1.0
01/01/2023,02:03:07,Wind,234.0
01/01/2023,02:03:07,Wood,232.0
01/01/2023,02:08:14,Coal,7.0
01/01/2023,02:08:14,Hydro,965.0
01/01/2023,02:08:14,Landfill Gas,36.0
