ID,Generating Fuel Type,Fuel Type
41051,Solar,Solar
41053,Solar,Solar
41054,Solar,Solar
41056,Solar,Solar
41059,Solar,Solar
41060,Solar,Solar
41061,Solar,Solar
41062,Solar,Solar
41063,Solar,Solar
41064,Solar,Solar
41065,Solar,Solar
41067,Electricity used for Energy Storage,Other
41072,Solar,Solar
41078,Solar,Solar
41080,Solar,Solar
41081,Solar,Solar
41082,Solar,Solar
41083,Solar,Solar
41084,Solar,Solar
41085,Solar,Solar
41086,Solar,Solar
41087,Solar,Solar
41088,Solar,Solar
41089,Solar,Solar
41090,Solar,Solar
41091,Solar,Solar
41092,Solar,Solar
41093,Solar,Solar
41097,Solar,Solar
41098,Solar,Solar
41104,Solar,Solar
41105,Solar,Solar
41107,Solar,Solar
41108,Solar,Solar
41110,Solar,Solar
41111,Solar,Solar
41112,Solar,Solar
41113,Solar,Solar
41117,Solar,Solar
41120,Solar,Solar
41121,Solar,Solar
41123,Solar,Solar
41125,Solar,Solar
41126,Solar,Solar
41128,Solar,Solar
41129,Solar,Solar
41130,Solar,Solar
41131,Solar,Solar
41132,Solar,Solar
41133,Solar,Solar
41134,Solar,Solar
41135,Solar,Solar
41136,Solar,Solar
41137,Electricity used for Energy Storage,Other
41139,Solar,Solar
41140,Solar,Solar
41141,Solar,Solar
41142,Solar,Solar
41143,Solar,Solar
41144,Solar,Solar
41145,Solar,Solar
41146,Solar,Solar
41147,Solar,Solar
41148,Solar,Solar
41149,Solar,Solar
41150,Solar,Solar
41151,Solar,Solar
41152,Solar,Solar
41153,Solar,Solar
41154,Solar,Solar
41155,Electricity used for Energy Storage,Other
41159,Solar,Solar
41160,Solar,Solar
41162,Solar,Solar
41164,Solar,Solar
41173,Solar,Solar
41174,Solar,Solar
41175,Solar,Solar
41176,Solar,Solar
41177,Solar,Solar
41179,Solar,Solar
41181,Solar,Solar
41182,Solar,Solar
41183,Solar,Solar
41184,Solar,Solar
41185,Solar,Solar
41186,Solar,Solar
41187,Solar,Solar
41188,Solar,Solar
41189,Solar,Solar
41190,Solar,Solar
41191,Solar,Solar
41192,Solar,Solar
41193,Solar,Solar
41194,Solar,Solar
41195,Solar,Solar
41196,Solar,Solar
41197,Solar,Solar
41198,Solar,Solar
41199,Solar,Solar
41200,Solar,Solar
41201,Solar,Solar
41202,Solar,Solar
41203,Solar,Solar
41204,Solar,Solar
41207,Solar,Solar
41209,Solar,Solar
41211,Solar,Solar
41213,Solar,Solar
41214,Solar,Solar
41216,Solar,Solar
41217,Solar,Solar
41218,Solar,Solar
41219,Solar,Solar
41220,Solar,Solar
41221,Solar,Solar
41222,Solar,Solar
41225,Solar,Solar
41226,Electricity used for Energy Storage,Other
41228,Solar,Solar
41231,Solar,Solar
41234,Solar,Solar
41237,Solar,Solar
41238,Solar,Solar
41241,Solar,Solar
41242,Solar,Solar
41244,Solar,Solar
41245,Solar,Solar
41246,Solar,Solar
41248,Solar,Solar
41249,Solar,Solar
41250,Solar,Solar
41251,Solar,Solar
41254,Solar,Solar
41256,Solar,Solar
41257,Solar,Solar
41258,Solar,Solar
41259,Solar,Solar
41260,Solar,Solar
41261,Solar,Solar
41262,Solar,Solar
41263,Solar,Solar
41264,Solar,Solar
41265,Solar,Solar
41266,Solar,Solar
41267,Solar,Solar
41268,Solar,Solar
41269,Solar,Solar
41270,Solar,Solar
41271,Solar,Solar
41272,Solar,Solar
41273,Solar,Solar
41274,Solar,Solar
41275,Solar,Solar
41276,Solar,Solar
41277,Solar,Solar
41278,Solar,Solar
41279,Solar,Solar
41280,Solar,Solar
41281,Solar,Solar
41282,Solar,Solar
41283,Solar,Solar
41291,Solar,Solar
41295,Solar,Solar
41297,Solar,Solar
41298,Solar,Solar
41299,Solar,Solar
41300,Solar,Solar
41301,Solar,Solar
41302,Solar,Solar
41304,Solar,Solar
41306,Electricity used for Energy Storage,Other
41309,Solar,Solar
41311,Solar,Solar
41312,Solar,Solar
41313,Solar,Solar
41314,Solar,Solar
41315,Electricity used for Energy Storage,Other
41316,Solar,Solar
41317,Solar,Solar
41318,Solar,Solar
41319,Solar,Solar
41320,Solar,Solar
41321,Solar,Solar
41322,Solar,Solar
41324,Solar,Solar
41326,Solar,Solar
41327,Electricity used for Energy Storage,Other
41328,Solar,Solar
41329,Solar,Solar
41330,Solar,Solar
41332,Solar,Solar
41333,Solar,Solar
41334,Solar,Solar
41335,Solar,Solar
41336,Solar,Solar
41337,Solar,Solar
41338,Solar,Solar
41339,Solar,Solar
41340,Solar,Solar
41341,Solar,Solar
41342,Solar,Solar
41343,Solar,Solar
41345,Solar,Solar
41346,Solar,Solar
41347,Solar,Solar
41348,Solar,Solar
41349,Solar,Solar
41350,Solar,Solar
41351,Solar,Solar
41352,Solar,Solar
41353,Solar,Solar
41354,Solar,Solar
41355,Solar,Solar
41356,Solar,Solar
41357,Solar,Solar
41358,Solar,Solar
41359,Solar,Solar
41360,Solar,Solar
41361,Solar,Solar
41363,Solar,Solar
41364,Solar,Solar
41366,Solar,Solar
41367,Solar,Solar
41368,Solar,Solar
41370,Solar,Solar
41371,Solar,Solar
41372,Solar,Solar
41374,Solar,Solar
41376,Solar,Solar
41378,Solar,Solar
41380,Solar,Solar
41383,Solar,Solar
41384,Solar,Solar
41385,Solar,Solar
41387,Solar,Solar
41389,Solar,Solar
41393,Solar,Solar
41395,Solar,Solar
41406,Solar,Solar
41407,Solar,Solar
41409,Solar,Solar
41413,Solar,Solar
41417,Solar,Solar
41419,Solar,Solar
41420,Solar,Solar
41421,Solar,Solar
41422,Solar,Solar
41423,Solar,Solar
41424,Solar,Solar
41425,Solar,Solar
41427,Solar,Solar
41429,Solar,Solar
41430,Solar,Solar
41434,Solar,Solar
41435,Solar,Solar
41436,Solar,Solar
41438,Solar,Solar
41453,Solar,Solar
41476,Solar,Solar
41477,Solar,Solar
41494,Solar,Solar
41496,Solar,Solar
41514,Electricity used for Energy Storage,Other
