ID,Generating Fuel Type,Fuel Type
566,Water at a Conventional Hydroelectric Turbine,Hydro
567,Water at a Conventional Hydroelectric Turbine,Hydro
569,Water at a Conventional Hydroelectric Turbine,Hydro
570,Water at a Conventional Hydroelectric Turbine,Hydro
580,Municipal Solid Waste,Waste
581,Municipal Solid Waste,Waste
583,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
584,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
587,Water at a Conventional Hydroelectric Turbine,Hydro
590,Wood/Wood Waste Solids.,Waste
591,Wood/Wood Waste Solids.,Waste
592,Wood/Wood Waste Solids.,Waste
595,Kerosene,Gas
596,Kerosene,Gas
598,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
599,Water at a Conventional Hydroelectric Turbine,Hydro
612,Natural Gas,Gas
613,Natural Gas,Gas
614,Water at a Conventional Hydroelectric Turbine,Hydro
616,Water at a Conventional Hydroelectric Turbine,Hydro
617,Water at a Conventional Hydroelectric Turbine,Hydro
618,Wood/Wood Waste Solids.,Waste
619,Kerosene,Gas
620,Water at a Conventional Hydroelectric Turbine,Hydro
621,Water at a Conventional Hydroelectric Turbine,Hydro
622,Water at a Conventional Hydroelectric Turbine,Hydro
624,Municipal Solid Waste,Waste
625,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
626,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
627,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
628,Kerosene,Gas
630,Kerosene,Gas
633,Natural Gas,Gas
636,Water at a Conventional Hydroelectric Turbine,Hydro
637,Water at a Conventional Hydroelectric Turbine,Hydro
638,Water at a Conventional Hydroelectric Turbine,Hydro
641,Residual Fuel Oil Bunker C,Oil
642,Residual Fuel Oil Bunker C,Oil
715,Landfill Gas,Gas
737,Water at a Conventional Hydroelectric Turbine,Hydro
739,Water at a Conventional Hydroelectric Turbine,Hydro
754,Water at a Conventional Hydroelectric Turbine,Hydro
755,Water at a Conventional Hydroelectric Turbine,Hydro
757,Water at a Conventional Hydroelectric Turbine,Hydro
759,Water at a Conventional Hydroelectric Turbine,Hydro
760,Water at a Conventional Hydroelectric Turbine,Hydro
761,Water at a Conventional Hydroelectric Turbine,Hydro
766,Water at a Conventional Hydroelectric Turbine,Hydro
767,Municipal Solid Waste,Waste
768,Water at a Conventional Hydroelectric Turbine,Hydro
769,Water at a Conventional Hydroelectric Turbine,Hydro
772,Water at a Conventional Hydroelectric Turbine,Hydro
774,Water at a Conventional Hydroelectric Turbine,Hydro
781,Water at a Conventional Hydroelectric Turbine,Hydro
786,Water at a Conventional Hydroelectric Turbine,Hydro
789,Water at a Conventional Hydroelectric Turbine,Hydro
