local_day,local_hour_end,tot_wind_mwh,_FREQ_
2023-01-01,01,770.0019226507161,54
2023-01-01,02,773.8854931704988,54
2023-01-01,03,955.6682422883447,56
2023-01-01,04,1176.1910908781485,53
2023-01-01,05,1350.5858251107363,57
2023-01-01,06,1733.724123156233,58
2023-01-01,07,2137.842932906226,57
2023-01-01,08,2552.300348046745,58
2023-01-01,09,2858.119987857549,58
2023-01-01,10,2708.005811246524,61
2023-01-01,11,2784.8068798618556,62
2023-01-01,12,3225.918512024821,60
2023-01-01,13,3120.3500101704203,60
2023-01-01,14,2819.4161526264365,59
2023-01-01,15,2466.7991583773337,59
2023-01-01,16,2165.641121889934,59
2023-01-01,17,2014.4456115518383,57
2023-01-01,18,1752.3804266973625,57
2023-01-01,19,1915.1640103606167,57
2023-01-01,20,1959.2778109762478,57
2023-01-01,21,1686.0860976801202,57
2023-01-01,22,1464.2478461723247,57
2023-01-01,23,1498.3428260667163,56
2023-01-01,24,1509.785842428487,54
2023-01-02,01,1447.2366204659759,54
2023-01-02,02,1366.0376884606699,55
2023-01-02,03,1521.8420541354865,58
2023-01-02,04,1510.8638794063897,58
2023-01-02,05,1423.3615629920644,58
2023-01-02,06,1255.4647213694018,55
2023-01-02,07,1102.9538081133148,57
2023-01-02,08,1084.310691568857,58
2023-01-02,09,1012.8932143447016,58
2023-01-02,10,864.0680666583239,58
2023-01-02,11,791.8659631322093,56
2023-01-02,12,824.1971822217763,58
2023-01-02,13,848.0854266923589,57
2023-01-02,14,802.0957758001944,57
2023-01-02,15,738.128951695487,52
2023-01-02,16,734.410218634099,52
2023-01-02,17,760.998500673189,56
2023-01-02,18,738.0201589729463,56
2023-01-02,19,703.4240732050343,55
2023-01-02,20,677.3138197952893,57
2023-01-02,21,673.6906924597699,55
2023-01-02,22,730.4475261342865,56
2023-01-02,23,619.6932378387841,54
2023-01-02,24,523.2732149252977,49
2023-01-03,01,608.1183515102973,47
2023-01-03,02,631.4263681273297,41
2023-01-03,03,578.8201416551957,40
2023-01-03,04,538.2701268900618,44
2023-01-03,05,523.5006906178826,48
2023-01-03,06,557.219841107134,47
2023-01-03,07,582.5850292049346,49
2023-01-03,08,614.4283294176523,50
2023-01-03,09,607.1886682449502,50
2023-01-03,10,565.7221572111406,50
2023-01-03,11,442.42373833178937,45
2023-01-03,12,432.8433852498806,46
2023-01-03,13,450.68209499737173,50
2023-01-03,14,471.2439195575458,57
2023-01-03,15,612.7799548337039,56
2023-01-03,16,822.6345231161928,57
2023-01-03,17,839.032553477313,51
2023-01-03,18,612.3744546860523,49
2023-01-03,19,492.71564688805967,50
2023-01-03,20,512.3972394204053,49
2023-01-03,21,402.65175637027914,48
2023-01-03,22,414.32884192297047,45
2023-01-03,23,373.4887132310613,42
2023-01-03,24,272.40049349583296,39
2023-01-04,01,245.6737479916912,37
2023-01-04,02,293.7403508596308,42
2023-01-04,03,401.49130066317935,46
2023-01-04,04,565.5573197527457,48
2023-01-04,05,582.2619477864804,50
2023-01-04,06,579.6377354488341,45
2023-01-04,07,575.6255917115037,42
2023-01-04,08,501.09268652368604,37
2023-01-04,09,478.5231417202629,39
2023-01-04,10,356.5599062539098,32
2023-01-04,11,328.1683024199801,44
2023-01-04,12,259.0651431116891,40
2023-01-04,13,255.4848735153529,31
2023-01-04,14,205.9709977627066,32
2023-01-04,15,184.38718096048422,34
2023-01-04,16,277.428035976876,38
2023-01-04,17,263.03442910983716,41
2023-01-04,18,346.92021168697875,43
2023-01-04,19,519.1127174754116,51
2023-01-04,20,792.0340973397721,53
2023-01-04,21,1182.791182712279,55
2023-01-04,22,1478.153534162515,54
