local_day,local_hour_end,tot_wind_mwh,_FREQ_
2023-01-01,01,1496.438398096054,54
2023-01-01,02,1503.9858130784876,54
2023-01-01,03,1857.266341203612,56
2023-01-01,04,2285.835216916663,53
2023-01-01,05,2624.7577170488876,57
2023-01-01,06,3369.3569759737616,58
2023-01-01,07,4154.73021533005,57
2023-01-01,08,4960.195724113261,58
2023-01-01,09,5554.532229572072,58
2023-01-01,10,5262.797090514233,61
2023-01-01,11,5412.0539491142135,62
2023-01-01,12,6269.319840013701,60
2023-01-01,13,6064.155729175422,60
2023-01-01,14,5479.314358694505,59
2023-01-01,15,4794.030862000002,59
2023-01-01,16,4208.753817309575,59
2023-01-01,17,3914.9171908882054,57
2023-01-01,18,3405.6140399683222,57
2023-01-01,19,3721.971178837277,57
2023-01-01,20,3807.7028935061617,57
2023-01-01,21,3276.776206452397,57
2023-01-01,22,2845.6509482452952,57
2023-01-01,23,2911.9118699331807,56
2023-01-01,24,2934.1504755393166,54
2023-01-02,01,2812.590964111715,54
2023-01-02,02,2654.78720263689,55
2023-01-02,03,2957.580778247941,58
2023-01-02,04,2936.2455559291775,58
2023-01-02,05,2766.191660798653,58
2023-01-02,06,2439.897305768616,55
2023-01-02,07,2143.504296853195,57
2023-01-02,08,2107.2728607533118,58
2023-01-02,09,1968.4785901552953,58
2023-01-02,10,1679.2485778021507,58
2023-01-02,11,1538.9294474708418,56
2023-01-02,12,1601.762638245653,58
2023-01-02,13,1648.1875694533912,57
2023-01-02,14,1558.8102867666757,57
2023-01-02,15,1434.4957766612752,52
2023-01-02,16,1427.2687103623064,52
2023-01-02,17,1478.9409530051994,56
2023-01-02,18,1434.2843465301883,56
2023-01-02,19,1367.049564844569,55
2023-01-02,20,1316.3063333837242,57
2023-01-02,21,1309.2650693211642,55
2023-01-02,22,1419.567528011809,56
2023-01-02,23,1204.3252475917238,54
2023-01-02,24,1016.9404886857478,49
2023-01-03,01,1181.8303630388164,47
2023-01-03,02,1227.1276668807573,41
2023-01-03,03,1124.8915880397594,40
2023-01-03,04,1046.0858119073876,44
2023-01-03,05,1017.3825698689294,48
2023-01-03,06,1082.9130965585152,47
2023-01-03,07,1132.2083519700993,49
2023-01-03,08,1194.0933106418536,50
2023-01-03,09,1180.023596464074,50
2023-01-03,10,1099.4366816516363,50
2023-01-03,11,859.8158664198693,45
2023-01-03,12,841.197200936888,46
2023-01-03,13,875.8653354614626,50
2023-01-03,14,915.8256302368776,57
2023-01-03,15,1190.8898238072045,56
2023-01-03,16,1598.725732726405,57
2023-01-03,17,1630.5940197574964,51
2023-01-03,18,1190.1017660458806,49
2023-01-03,19,957.5542497450194,50
2023-01-03,20,995.8038825507319,49
2023-01-03,21,782.5221360734517,48
2023-01-03,22,805.2156368101071,45
2023-01-03,23,725.8460469948361,42
2023-01-03,24,529.3890133731339,39
2023-01-04,01,477.4476778361303,37
2023-01-04,02,570.8613539345037,42
2023-01-04,03,780.2668813418586,46
2023-01-04,04,1099.1163329681713,48
2023-01-04,05,1131.5804685505075,50
2023-01-04,06,1126.4805175097454,45
2023-01-04,07,1118.6832305542096,42
2023-01-04,08,973.834369838707,37
2023-01-04,09,929.9722280986896,39
2023-01-04,10,692.946237202988,32
2023-01-04,11,637.7693799629886,44
2023-01-04,12,503.47280488082106,40
2023-01-04,13,496.5148314759628,31
2023-01-04,14,400.2884939367676,32
2023-01-04,15,358.3420373238696,34
2023-01-04,16,539.1596482188144,38
2023-01-04,17,511.18680117865637,41
2023-01-04,18,674.212246193959,43
2023-01-04,19,1008.8548879150931,51
2023-01-04,20,1539.2562031279758,53
2023-01-04,21,2298.661978202599,55
2023-01-04,22,2872.675563182397,54
2023-01-04,23,3538.936755052756,53
2023-01-04,24,3684.9452780024008,53
2023-01-05,01,3741.3971230025936,54
2023-01-05,02,3798.707502474467,53
2023-01-05,03,2981.8183596388985,53
2023-01-05,04,2166.031216274448,52
2023-01-05,05,2087.404835404816,52
2023-01-05,06,1833.5861665218836,51
2023-01-05,07,1796.368056476929,50
2023-01-05,08,1483.0221952325426,51
2023-01-05,09,1533.6565081410097,52
2023-01-05,10,1355.6003028975326,49
2023-01-05,11,1197.59792523896,50
2023-01-05,12,1219.080507952118,45
2023-01-05,13,943.7536284613502,44
2023-01-05,14,681.0997428884548,43
2023-01-05,15,506.2598384269659,43
2023-01-05,16,535.5268941483221,42
2023-01-05,17,591.2675650712196,41
2023-01-05,18,684.4890319595138,40
2023-01-05,19,622.8026894715072,39
2023-01-05,20,549.2378178006211,39
2023-01-05,21,524.6606668051917,38
2023-01-05,22,408.239548260367,36
2023-01-05,23,291.3058718219986,35
2023-01-05,24,320.07959057081854,34
2023-01-06,01,337.6923611877203,37
2023-01-06,02,308.7264332288215,36
2023-01-06,03,246.92476521476738,36
2023-01-06,04,267.07469740471134,36
2023-01-06,05,279.7989471119383,34
2023-01-06,06,223.635415926867,32
2023-01-06,07,141.58771111782934,32
2023-01-06,08,134.24531929281315,27
2023-01-06,09,90.30629386876352,28
2023-01-06,10,72.2001862793257,30
2023-01-06,11,112.92291092138751,31
2023-01-06,12,144.04798900684,30
2023-01-06,13,65.21017800612094,27
2023-01-06,14,37.070749650561595,25
2023-01-06,15,35.340866759850975,29
2023-01-06,16,41.869572928866226,28
2023-01-06,17,64.6079224812069,30
2023-01-06,18,87.22453953383088,31
2023-01-06,19,89.99235215896785,30
2023-01-06,20,93.41367609837326,32
2023-01-06,21,111.90420210796901,32
2023-01-06,22,123.11640602924156,33
2023-01-06,23,88.26887624192655,31
2023-01-06,24,96.16867477617166,34
2023-01-07,01,137.06438770730452,31
2023-01-07,02,237.42322326319757,33
2023-01-07,03,212.08364240112164,31
2023-01-07,04,237.0388048430396,30
2023-01-07,05,303.45349389898865,32
2023-01-07,06,301.74283192928596,33
2023-01-07,07,329.92710910053034,29
2023-01-07,08,406.7979791847748,32
2023-01-07,09,385.7126288391133,34
2023-01-07,10,446.7903088285365,36
2023-01-07,11,513.2882885421866,39
2023-01-07,12,571.7903651165517,47
2023-01-07,13,772.8540128064799,46
2023-01-07,14,1041.8636162593193,49
2023-01-07,15,1250.961608930548,45
2023-01-07,16,1575.192918439072,46
2023-01-07,17,1804.7740059310481,47
2023-01-07,18,1891.1784528352082,48
2023-01-07,19,2199.943327906046,52
2023-01-07,20,2588.993990026863,53
2023-01-07,21,2911.0148936194796,53
2023-01-07,22,3222.9319997356115,53
2023-01-07,23,3450.5589602584514,52
2023-01-07,24,3579.0892590382514,50
2023-01-08,01,3479.9669694005306,52
2023-01-08,02,3311.348236371932,53
2023-01-08,03,3223.2971972347623,52
2023-01-08,04,3227.3143697254127,54
2023-01-08,05,3209.4453201617375,53
2023-01-08,06,3141.819713082291,52
2023-01-08,07,2960.9059975823084,51
2023-01-08,08,2863.42389320393,52
2023-01-08,09,2225.8979782403744,52
